4f - 3d 3Do            2p4f F[7/2]e4 - 2p3d(3Do 3)       4241.79 * 4.54e+3 5.46e+2 2.54e+2 5.10e+1 2.48e+1 1.60e+1 1.23e+1
4f - 3d 3Do            2p4f F[7/2]e3 - 2p3d(3Do 2)       4237.05 * 2.01e+3 2.40e+2 1.11e+2 2.22e+1 1.08e+1 6.96e+0 5.37e+0
4f - 3d 3Do            2p4f F[5/2]e2 - 2p3d(3Do 1)       4236.93 * 2.74e+3 3.12e+2 1.43e+2 2.84e+1 1.38e+1 8.92e+0 6.88e+0
4f - 3d 3Do            2p4f F[5/2]e3 - 2p3d(3Do 2)       4241.76 * 1.59e+3 1.81e+2 8.29e+1 1.64e+1 7.93e+0 5.14e+0 4.04e+0
4f - 3d 1Fo            2p4f G[9/2]e4 - 2p3d(1Fo 3)       4530.41 * 1.64e+3 3.79e+2 1.95e+2 4.16e+1 2.01e+1 1.30e+1 9.92e+0
4f - 3d 1Fo            2p4f G[7/2]e4 - 2p3d(1Fo 3)       4552.52 * 9.81e+2 1.67e+2 8.22e+1 1.70e+1 8.25e+0 5.33e+0 4.10e+0
4f - 3d 3Fo            2p4f D[3/2]e2 - 2p3d(3Fo 3)       4011.82 * 2.31e+0 5.38e-1 2.77e-1 5.91e-2 2.85e-2 1.82e-2 1.31e-2
4f - 3d 3Fo            2p4f D[3/2]e2 - 2p3d(3Fo 2)       4002.28 * 1.08e-1 2.52e-2 1.30e-2 2.77e-3 1.34e-3 8.51e-4 6.14e-4
4f - 3d 3Fo            2p4f D[3/2]e1 - 2p3d(3Fo 2)       4002.87 * 3.05e+0 7.12e-1 3.67e-1 7.85e-2 3.80e-2 2.42e-2 1.75e-2
4f - 3d 3Fo            2p4f D[5/2]e2 - 2p3d(3Fo 3)       4023.95 * 7.10e+0 1.35e+0 6.74e-1 1.41e-1 6.79e-2 4.33e-2 3.15e-2
4f - 3d 3Fo            2p4f D[5/2]e2 - 2p3d(3Fo 2)       4014.35 * 7.10e-1 1.35e-1 6.74e-2 1.41e-2 6.79e-3 4.33e-3 3.15e-3
4f - 3d 3Fo            2p4f D[5/2]e3 - 2p3d(3Fo 4)       4037.96 * 1.69e+1 3.22e+0 1.61e+0 3.36e-1 1.62e-1 1.04e-1 7.66e-2
4f - 3d 3Fo            2p4f D[5/2]e3 - 2p3d(3Fo 3)       4024.71 * 4.19e-1 7.96e-2 3.98e-2 8.30e-3 4.02e-3 2.57e-3 1.89e-3
4f - 3d 3Fo            2p4f D[5/2]e3 - 2p3d(3Fo 2)       4015.11 * 1.31e-2 2.49e-3 1.25e-3 2.60e-4 1.26e-4 8.04e-5 5.94e-5
4f - 3d 3Fo            2p4f G[9/2]e4 - 2p3d(3Fo 4)       4039.34 * 4.81e+1 1.11e+1 5.72e+0 1.22e+0 5.90e-1 3.80e-1 2.91e-1
4f - 3d 3Fo            2p4f G[9/2]e4 - 2p3d(3Fo 3)       4026.08 * 7.69e+2 1.78e+2 9.14e+1 1.95e+1 9.43e+0 6.08e+0 4.65e+0
4f - 3d 3Fo            2p4f G[9/2]e5 - 2p3d(3Fo 4)       4041.31 * 3.13e+3 7.21e+2 3.70e+2 7.89e+1 3.84e+1 2.48e+1 1.87e+1
4f - 3d 3Fo            2p4f G[7/2]e4 - 2p3d(3Fo 4)       4056.91 * 3.41e+2 5.82e+1 2.86e+1 5.91e+0 2.87e+0 1.85e+0 1.43e+0
4f - 3d 3Fo            2p4f G[7/2]e4 - 2p3d(3Fo 3)       4043.53 * 1.94e+3 3.31e+2 1.63e+2 3.37e+1 1.63e+1 1.06e+1 8.11e+0
4f - 3d 3Fo            2p4f G[7/2]e3 - 2p3d(3Fo 4)       4058.16 * 8.57e+0 1.47e+0 7.20e-1 1.49e-1 7.20e-2 4.65e-2 3.58e-2
4f - 3d 3Fo            2p4f G[7/2]e3 - 2p3d(3Fo 3)       4044.78 * 3.11e+2 5.31e+1 2.61e+1 5.39e+0 2.61e+0 1.69e+0 1.30e+0
4f - 3d 3Fo            2p4f G[7/2]e3 - 2p3d(3Fo 2)       4035.08 * 2.06e+3 3.53e+2 1.73e+2 3.58e+1 1.73e+1 1.12e+1 8.61e+0
4f - 3d 3Fo            2p4f F[7/2]e4 - 2p3d(3Fo 4)       4095.90 * 3.48e+2 4.19e+1 1.95e+1 3.91e+0 1.90e+0 1.23e+0 9.40e-1
4f - 3d 3Fo            2p4f F[7/2]e4 - 2p3d(3Fo 3)       4082.27 * 8.63e+2 1.04e+2 4.83e+1 9.69e+0 4.70e+0 3.04e+0 2.33e+0
4f - 3d 3Fo            2p4f F[7/2]e3 - 2p3d(3Fo 4)       4096.57 * 1.31e+1 1.57e+0 7.28e-1 1.45e-1 7.03e-2 4.55e-2 3.51e-2
4f - 3d 3Fo            2p4f F[7/2]e3 - 2p3d(3Fo 3)       4082.93 * 5.16e+1 6.18e+0 2.87e+0 5.72e-1 2.77e-1 1.79e-1 1.38e-1
4f - 3d 3Fo            2p4f F[7/2]e3 - 2p3d(3Fo 2)       4073.05 * 1.01e+3 1.21e+2 5.62e+1 1.12e+1 5.42e+0 3.51e+0 2.71e+0
4f - 3d 3Fo            2p4f F[5/2]e2 - 2p3d(3Fo 3)       4086.83 * 3.42e+1 3.89e+0 1.79e+0 3.54e-1 1.72e-1 1.11e-1 8.59e-2
4f - 3d 3Fo            2p4f F[5/2]e2 - 2p3d(3Fo 2)       4076.93 * 3.28e+2 3.74e+1 1.72e+1 3.40e+0 1.65e+0 1.07e+0 8.25e-1
4f - 3d 3Fo            2p4f F[5/2]e3 - 2p3d(3Fo 4)       4100.97 * 1.18e+1 1.34e+0 6.15e-1 1.22e-1 5.89e-2 3.82e-2 3.00e-2
4f - 3d 3Fo            2p4f F[5/2]e3 - 2p3d(3Fo 3)       4087.31 * 2.20e+2 2.62e+1 1.20e+1 2.37e+0 1.15e+0 7.45e-1 5.86e-1
4f - 3d 3Fo            2p4f F[5/2]e3 - 2p3d(3Fo 2)       4077.40 * 4.27e-1 4.86e-2 2.23e-2 4.41e-3 2.13e-3 1.38e-3 1.08e-3
4f - 3d 1Do            2p4f G[7/2]e3 - 2p3d(1Do 2)       4131.77 * 2.43e+2 4.16e+1 2.05e+1 4.22e+0 2.04e+0 1.32e+0 1.02e+0
4f - 3d 1Do            2p4f F[7/2]e3 - 2p3d(1Do 2)       4171.60 * 1.15e+3 1.37e+2 6.37e+1 1.27e+1 6.16e+0 3.98e+0 3.07e+0
4f - 3d 1Do            2p4f F[5/2]e3 - 2p3d(1Do 2)       4176.16 * 2.72e+3 3.10e+2 1.42e+2 2.81e+1 1.36e+1 8.82e+0 6.94e+0
4d 3Po - 4p 3Se        2p4d(3Po 1) - 2p4p(3Se 1)        13858.59 * 1.64e+2 3.68e+1 2.02e+1 5.96e+0 3.52e+0 2.59e+0 2.31e+0
4d 3Po - 4p 3Se        2p4d(3Po 2) - 2p4p(3Se 1)        13947.86 * 2.41e+2 4.87e+1 2.61e+1 7.53e+0 4.44e+0 3.54e+0 4.77e+0
4d 3Po - 4p 3Pe        2p4d(3Po 2) - 2p4p(3Pe 2)        13425.85 * 1.24e+2 2.51e+1 1.34e+1 3.87e+0 2.29e+0 1.82e+0 2.46e+0
4d 3Do - 4p 3Pe        2p4d(3Do 3) - 2p4p(3Pe 2)        14195.22 * 3.84e+2 6.53e+1 3.45e+1 9.92e+0 5.86e+0 4.38e+0 4.35e+0
4d 3Do - 4p 3De        2p4d(3Do 3) - 2p4p(3De 3)        13436.61 * 1.82e+2 3.11e+1 1.64e+1 4.72e+0 2.78e+0 2.08e+0 2.07e+0
4d 3Do - 4p 1Pe        2p4d(3Do 2) - 2p4p(1Pe 1)        12349.30 * 3.32e+2 5.00e+1 2.56e+1 7.15e+0 4.21e+0 3.52e+0 5.66e+0
4d 3Do - 4p 1Pe        2p4d(3Do 1) - 2p4p(1Pe 1)        12389.41 * 2.22e+2 2.38e+1 1.18e+1 3.26e+0 1.92e+0 1.50e+0 1.86e+0
4d 3Fo - 4p 3De        2p4d(3Fo 4) - 2p4p(3De 3)        14358.63 * 5.94e+2 1.46e+2 8.13e+1 2.50e+1 1.50e+1 1.11e+1 9.27e+0
4d 3Fo - 4p 3De        2p4d(3Fo 3) - 2p4p(3De 2)        14337.71 * 9.53e+2 1.13e+2 5.79e+1 1.67e+1 1.00e+1 8.03e+0 1.04e+1
4d 3Fo - 4p 3De        2p4d(3Fo 2) - 2p4p(3De 1)        14364.86 * 3.44e+2 3.90e+1 1.91e+1 5.27e+0 3.13e+0 2.64e+0 4.20e+0
4d 3Po - 3p 3Pe        2p4d(3Po 2) - 2p3p(3Pe 2)         2496.81 * 1.77e+2 3.57e+1 1.91e+1 5.51e+0 3.25e+0 2.59e+0 3.50e+0
4d 3Do - 3p 3Pe        2p4d(3Do 3) - 2p3p(3Pe 2)         2522.24 * 6.50e+2 1.11e+2 5.84e+1 1.68e+1 9.92e+0 7.42e+0 7.36e+0
4d 3Do - 3p 3Pe        2p4d(3Do 2) - 2p3p(3Pe 1)         2520.79 * 3.58e+2 5.39e+1 2.76e+1 7.71e+0 4.54e+0 3.79e+0 6.10e+0
4d 3Do - 3p 3Pe        2p4d(3Do 1) - 2p3p(3Pe 1)         2522.46 * 2.04e+2 2.20e+1 1.09e+1 3.01e+0 1.78e+0 1.39e+0 1.72e+0
4d 3Do - 3p 3Pe        2p4d(3Do 1) - 2p3p(3Pe 0)         2520.21 * 3.36e+2 3.61e+1 1.79e+1 4.94e+0 2.92e+0 2.28e+0 2.82e+0
4d 3Fo - 3p 3De        2p4d(3Fo 4) - 2p3p(3De 3)         2317.04 * 5.71e+2 1.40e+2 7.81e+1 2.40e+1 1.45e+1 1.07e+1 8.91e+0
4d 3Fo - 3p 3De        2p4d(3Fo 3) - 2p3p(3De 2)         2316.49 * 8.97e+2 1.06e+2 5.45e+1 1.58e+1 9.43e+0 7.55e+0 9.82e+0
4d 3Fo - 3p 3De        2p4d(3Fo 2) - 2p3p(3De 1)         2316.68 * 3.40e+2 3.85e+1 1.89e+1 5.20e+0 3.09e+0 2.61e+0 4.14e+0
4p 3Se - 3d 3Po        2p4p(3Se 1) - 2p3d(3Po 2)         6809.98 * 1.19e+2 2.57e+1 1.41e+1 4.31e+0 2.68e+0 2.12e+0 2.30e+0
4p 3De - 3d 3Fo        2p4p(3De 3) - 2p3d(3Fo 4)         6167.75 * 3.92e+2 8.79e+1 4.90e+1 1.58e+1 1.00e+1 7.80e+0 7.09e+0
4p 3De - 3d 3Fo        2p4p(3De 2) - 2p3d(3Fo 3)         6173.31 * 5.08e+2 6.05e+1 3.11e+1 9.56e+0 6.07e+0 5.01e+0 6.12e+0
4p 3De - 3d 3Fo        2p4p(3De 1) - 2p3d(3Fo 2)         6170.16 * 2.52e+2 2.90e+1 1.45e+1 4.43e+0 2.87e+0 2.44e+0 3.13e+0
4p 1De - 3d 1Fo        2p4p(1De 2) - 2p3d(1Fo 3)         6242.41 * 8.69e+1 1.99e+1 1.10e+1 3.95e+0 2.81e+0 2.45e+0 2.50e+0
4p 3De - 3s 3Po        2p4p(3De 3) - 2p3s(3Po 2)         1859.26 * 3.83e+2 8.59e+1 4.79e+1 1.54e+1 9.78e+0 7.62e+0 6.93e+0
4p 3De - 3s 3Po        2p4p(3De 2) - 2p3s(3Po 1)         1857.87 * 3.44e+2 4.10e+1 2.11e+1 6.47e+0 4.11e+0 3.39e+0 4.14e+0
4p 3De - 3s 3Po        2p4p(3De 1) - 2p3s(3Po 0)         1858.55 * 1.39e+2 1.60e+1 8.03e+0 2.45e+0 1.59e+0 1.35e+0 1.73e+0
4p 3De - 4s 3Po        2p4p(3De 2) - 2p4s(3Po 1)        16194.66 * 1.50e+2 1.79e+1 9.22e+0 2.83e+0 1.80e+0 1.48e+0 1.81e+0
4s 3Po - 3p 3De        2p4s(3Po 2) - 2p3p(3De 3)         3328.72 * 1.42e+2 3.05e+1 1.70e+1 5.96e+0 4.10e+0 3.47e+0 3.56e+0
4s 3Po - 3p 3De        2p4s(3Po 1) - 2p3p(3De 2)         3331.31 * 1.37e+2 1.67e+1 8.67e+0 2.96e+0 2.06e+0 1.80e+0 2.05e+0
3d 3Po - 3p 1Pe        2p3d(3Po 0) - 2p3p(1Pe 1)         4109.59 * 7.01e-4 1.65e-4 8.74e-5 2.17e-5 1.17e-5 8.12e-6 6.64e-6
3d 3Po - 3p 1Pe        2p3d(3Po 1) - 2p3p(1Pe 1)         4114.33 * 2.65e+0 5.66e-1 2.96e-1 7.24e-2 3.88e-2 2.72e-2 2.37e-2
3d 3Po - 3p 1Pe        2p3d(3Po 2) - 2p3p(1Pe 1)         4123.12 * 1.52e+0 2.90e-1 1.49e-1 3.57e-2 1.92e-2 1.42e-2 1.68e-2
3d 3Po - 3p 3Pe (V29)  2p3d(3Po 0) - 2p3p(3Pe 1)         5454.21 * 1.80e+2 4.22e+1 2.24e+1 5.56e+0 2.99e+0 2.08e+0 1.70e+0
3d 3Po - 3p 3Pe (V29)  2p3d(3Po 1) - 2p3p(3Pe 2)         5480.05 * 2.38e+2 5.09e+1 2.66e+1 6.51e+0 3.49e+0 2.45e+0 2.13e+0
3d 3Po - 3p 3Pe (V29)  2p3d(3Po 1) - 2p3p(3Pe 1)         5462.58 * 1.84e+2 3.93e+1 2.06e+1 5.03e+0 2.70e+0 1.89e+0 1.64e+0
3d 3Po - 3p 3Pe (V29)  2p3d(3Po 1) - 2p3p(3Pe 0)         5452.07 * 1.62e+2 3.46e+1 1.81e+1 4.42e+0 2.37e+0 1.66e+0 1.45e+0
3d 3Po - 3p 3Pe (V29)  2p3d(3Po 2) - 2p3p(3Pe 2)         5495.65 * 8.49e+2 1.62e+2 8.28e+1 1.99e+1 1.07e+1 7.91e+0 9.35e+0
3d 3Po - 3p 3Pe (V29)  2p3d(3Po 2) - 2p3p(3Pe 1)         5478.09 * 1.66e+2 3.16e+1 1.62e+1 3.89e+0 2.09e+0 1.55e+0 1.83e+0
3d 3Po - 3p 3Se (M24)  2p3d(3Po 0) - 2p3p(3Se 1)         4987.38 * 3.85e+2 9.04e+1 4.80e+1 1.19e+1 6.40e+0 4.46e+0 3.64e+0
3d 3Po - 3p 3Se (M24)  2p3d(3Po 1) - 2p3p(3Se 1)         4994.37 * 1.33e+3 2.84e+2 1.48e+2 3.63e+1 1.95e+1 1.36e+1 1.19e+1
3d 3Po - 3p 3Se (M24)  2p3d(3Po 2) - 2p3p(3Se 1)         5007.33 * 2.64e+3 5.03e+2 2.58e+2 6.20e+1 3.32e+1 2.46e+1 2.91e+1
3d 3Po - 3p 3De (M21)  2p3d(3Po 2) - 2p3p(3De 3)         4459.94 * 4.88e+1 1.15e+1 6.08e+0 1.51e+0 8.11e-1 5.65e-1 4.62e-1
3d 3Po - 3p 3De (M21)  2p3d(3Po 2) - 2p3p(3De 3)         4477.68 * 1.32e+2 2.82e+1 1.48e+1 3.61e+0 1.94e+0 1.36e+0 1.18e+0
3d 3Po - 3p 3De (M21)  2p3d(3Po 2) - 2p3p(3De 3)         4465.53 * 3.32e+1 7.09e+0 3.71e+0 9.07e-1 4.87e-1 3.41e-1 2.97e-1
3d 3Po - 3p 3De (M21)  2p3d(3Po 2) - 2p3p(3De 3)         4507.56 * 2.87e+2 5.47e+1 2.80e+1 6.74e+0 3.61e+0 2.68e+0 3.16e+0
3d 3Po - 3p 3De (M21)  2p3d(3Po 2) - 2p3p(3De 3)         4488.09 * 3.43e+1 6.52e+0 3.34e+0 8.04e-1 4.31e-1 3.19e-1 3.78e-1
3d 3Po - 3p 3De (M21)  2p3d(3Po 2) - 2p3p(3De 3)         4475.89 * 1.62e+0 3.08e-1 1.58e-1 3.80e-2 2.04e-2 1.51e-2 1.78e-2
3d 3Do - 3p 3Pe (M28)  2p3d(3Do 3) - 2p3p(3Pe 2)         5941.65 * 5.21e+3 7.38e+2 3.63e+2 8.54e+1 4.57e+1 3.25e+1 3.00e+1
3d 3Do - 3p 3Pe (M28)  2p3d(3Do 2) - 2p3p(3Pe 2)         5952.39 * 8.13e+2 1.08e+2 5.22e+1 1.21e+1 6.45e+0 4.82e+0 5.91e+0
3d 3Do - 3p 3Pe (M28)  2p3d(3Do 2) - 2p3p(3Pe 1)         5931.78 * 2.75e+3 3.64e+2 1.77e+2 4.09e+1 2.18e+1 1.63e+1 2.00e+1
3d 3Do - 3p 3Pe (M28)  2p3d(3Do 1) - 2p3p(3Pe 2)         5960.90 * 6.93e+1 7.97e+0 3.80e+0 8.73e-1 4.66e-1 3.37e-1 3.48e-1
3d 3Do - 3p 3Pe (M28)  2p3d(3Do 1) - 2p3p(3Pe 1)         5940.24 * 1.19e+3 1.36e+2 6.49e+1 1.49e+1 7.97e+0 5.77e+0 5.95e+0
3d 3Do - 3p 3Pe (M28)  2p3d(3Do 1) - 2p3p(3Pe 0)         5927.81 * 1.70e+3 1.95e+2 9.28e+1 2.13e+1 1.14e+1 8.25e+0 8.51e+0
3d 3Do - 3p 3De (M20)  2p3d(3Do 3) - 2p3p(3De 3)         4803.29 * 3.02e+3 4.28e+2 2.11e+2 4.95e+1 2.65e+1 1.88e+1 1.74e+1
3d 3Do - 3p 3De (M20)  2p3d(3Do 3) - 2p3p(3De 2)         4781.19 * 1.92e+2 2.72e+1 1.34e+1 3.15e+0 1.69e+0 1.20e+0 1.11e+0
3d 3Do - 3p 3De (M20)  2p3d(3Do 2) - 2p3p(3De 3)         4810.30 * 3.10e+2 4.11e+1 1.99e+1 4.61e+0 2.46e+0 1.84e+0 2.25e+0
